id,latitude,longitude,matrix_id,type,fill_level,waste_kg,priority,elevation_m,nearest_node
3103,38.734600067,-9.409230232,136,container,0,0,1,122.0,672196822
3104,38.715000153,-9.416190147,137,container,0,0,1,70.0,680267760
3105,38.71390152,-9.415860176,138,container,0,0,1,78.0,892548193
3106,38.715499878,-9.416740417,139,container,0,0,1,77.0,892548337
3108,38.729400635,-9.407380104,140,container,0,0,1,117.0,672070085
3109,38.729301453,-9.408690453,141,container,0,0,1,125.0,672070067
3110,38.72990036,-9.409359932,142,container,0,0,1,122.0,672070066
3111,38.73059845,-9.409239769,143,container,0,0,1,122.0,672069623
3112,38.744800568,-9.39013958,144,container,0,0,1,130.0,2050726332
3113,38.74079895,-9.372179985,145,container,0,0,1,105.0,2864027178
3114,38.732398987,-9.388270378,146,container,0,0,1,110.0,1453552407
3115,38.735801697,-9.403880119,147,container,0,0,1,129.0,671827405
3116,38.736301422,-9.402600288,148,container,0,0,1,132.0,671827406
3117,38.742698669,-9.401599884,149,container,0,0,1,124.0,2050690136
3121,38.731601715,-9.442959785,150,container,0,0,1,88.0,26709333
3122,38.73210144,-9.420410156,151,container,0,0,1,120.0,1425229383
3123,38.719501495,-9.409680367,152,container,0,0,1,85.0,892322766
3124,38.710201263,-9.422100067,153,container,0,0,1,53.0,892584137
3125,38.722900391,-9.413109779,154,container,0,0,1,91.0,5338131695
3127,38.753101349,-9.449799538,155,container,0,0,1,144.0,269669432
3131,38.707099915,-9.329039574,156,container,0,0,1,74.0,1450527622
3132,38.705200195,-9.326390266,157,container,0,0,1,72.0,327601484
3133,38.702400208,-9.325400352,158,container,0,0,1,68.0,12377129848
3134,38.700901031,-9.324480057,159,container,0,0,1,66.0,327599557
3135,38.70059967,-9.32022953,160,container,0,0,1,56.0,327599888
3136,38.700000763,-9.319749832,161,container,0,0,1,54.0,327599865
3137,38.699100494,-9.321579933,162,container,0,0,1,49.0,327599865
3138,38.698898315,-9.322520256,163,container,0,0,1,52.0,327599868
3139,38.700000763,-9.322850227,164,container,0,0,1,58.0,327599909
3141,38.701499939,-9.327340126,165,container,0,0,1,60.0,1450527695
3142,38.699401855,-9.330929756,166,container,0,0,1,46.0,1450511292
3143,38.699001312,-9.329030037,167,container,0,0,1,47.0,427064848
3144,38.699798584,-9.327150345,168,container,0,0,1,57.0,3773473473
3145,38.698799133,-9.327039719,169,container,0,0,1,53.0,327599675
3147,38.698898315,-9.335900307,170,container,0,0,1,51.0,919169824
3148,38.698699951,-9.334159851,171,container,0,0,1,40.0,6394183959
3149,38.696899414,-9.331080437,172,container,0,0,1,31.0,2474080557
3151,38.695598602,-9.341290474,173,container,0,0,1,40.0,1957173347
3152,38.692298889,-9.336649895,174,container,0,0,1,35.0,11726970594
3154,38.687900543,-9.338069916,175,container,0,0,1,27.0,306008098
3155,38.688499451,-9.337280273,176,container,0,0,1,30.0,5582102170
3156,38.688098907,-9.335780144,177,container,0,0,1,26.0,10079263663
3158,38.689601898,-9.330019951,178,container,0,0,1,21.0,1896054308
3159,38.688899994,-9.328989983,179,container,0,0,1,28.0,1589805047
3160,38.689300537,-9.333490372,180,container,0,0,1,28.0,327598984
3161,38.690200806,-9.333230019,181,container,0,0,1,28.0,4128408351
3162,38.691001892,-9.332360268,182,container,0,0,1,21.0,3961704807
3163,38.689201355,-9.33191967,183,container,0,0,1,21.0,2797786409
3164,38.685398102,-9.328900337,184,container,0,0,1,22.0,1896040867
3165,38.684501648,-9.327159882,185,container,0,0,1,29.0,329700960
3166,38.684299469,-9.328249931,186,container,0,0,1,25.0,2021767710
3167,38.683998108,-9.329609871,187,container,0,0,1,23.0,4033820242
3168,38.681999207,-9.329190254,188,container,0,0,1,22.0,4033322074
3170,38.687599182,-9.338479996,189,container,0,0,1,26.0,305862228
3171,38.685798645,-9.340600014,190,container,0,0,1,16.0,1583790338
3172,38.682800293,-9.340729713,191,container,0,0,1,13.0,329700353
3173,38.684898376,-9.342430115,192,container,0,0,1,13.0,329700418
3174,38.686401367,-9.34414959,193,container,0,0,1,22.0,306008134
3175,38.684700012,-9.345290184,194,container,0,0,1,18.0,306008141
3176,38.682598114,-9.342980385,195,container,0,0,1,9.0,1955857087
3177,38.691200256,-9.336629868,196,container,0,0,1,32.0,327598669
3178,38.695899963,-9.340259552,197,container,0,0,1,45.0,5578284334
3179,38.695899963,-9.339440346,198,container,0,0,1,41.0,1957173337
3180,38.6977005,-9.339670181,199,container,0,0,1,50.0,12386933134
3181,38.699199677,-9.339320183,200,container,0,0,1,62.0,413156428
3182,38.699798584,-9.338359833,201,container,0,0,1,61.0,1956740764
3183,38.700698853,-9.336400032,202,container,0,0,1,60.0,1956760958
3184,38.701198578,-9.335240364,203,container,0,0,1,62.0,1956760545
3185,38.703399658,-9.335619926,204,container,0,0,1,62.0,6394183952
3186,38.704498291,-9.336259842,205,container,0,0,1,68.0,6394183948
3187,38.703601837,-9.335180283,206,container,0,0,1,62.0,6394183949
3188,38.703899384,-9.336790085,207,container,0,0,1,80.0,1956761613
3189,38.703998566,-9.337329865,208,container,0,0,1,80.0,1956762458
3190,38.705299377,-9.334799767,209,container,0,0,1,71.0,1956755720
3196,38.685901642,-9.349040031,210,container,0,0,1,23.0,305835111
3197,38.68529892,-9.347310066,211,container,0,0,1,20.0,305835190
3198,38.683799744,-9.345609665,212,container,0,0,1,17.0,305835186
3199,38.688598633,-9.350669861,213,container,0,0,1,28.0,9841917703
3200,38.68870163,-9.347559929,214,container,0,0,1,27.0,327599301
3201,38.688301086,-9.345820427,215,container,0,0,1,23.0,5879080033
3202,38.68970108,-9.345870018,216,container,0,0,1,31.0,1155685120
3203,38.689800262,-9.347960472,217,container,0,0,1,28.0,327599116
3204,38.688598633,-9.347900391,218,container,0,0,1,27.0,327599217
3205,38.69260025,-9.343359947,219,container,0,0,1,37.0,1897925939
3206,38.694000244,-9.34360981,220,container,0,0,1,42.0,1956627392
3207,38.694400787,-9.342989922,221,container,0,0,1,39.0,1956627431
3208,38.693199158,-9.345490456,222,container,0,0,1,44.0,1956627351
3210,38.680400848,-9.329409599,223,container,0,0,1,19.0,329700765
3214,38.691299438,-9.329990387,224,container,0,0,1,26.0,1544715275
3215,38.689399719,-9.337249756,225,container,0,0,1,30.0,1955857070
3217,38.687400818,-9.326530457,226,container,0,0,1,29.0,1896037944
3218,38.703899384,-9.329239845,227,container,0,0,1,58.0,1450527615
